"SKU","Product","Brand","Available","Total","Average Cost","Inventory Value"
"B0058Z33FG-M","NIKE Performance Cushion Quarter Socks with Bag (6 Pairs)","nike","10","20","12.00","240.00"
"B0BLZ59G5F-","Nike Sportswear Faux Fur Tote Bag Purse (10L) (Black/Sail)","nike","0","0","22.40","0.00"
"B0CX6WN8LK-8-5","Nike Air Max 270 Women's Shoes","nike","0","0","100.00","0.00"
"B0D944H3PP-8-5","Nike Air Jordan 1 Low Men's Shoes","nike","0","0","59.48","0.00"
"B07FKFFTQS-M","Nike Men's Sportswear Club T Shirt","nike","20","70","14.25","997.50"
"B07FKFFTQS-L","Nike Men's Sportswear Club T Shirt","nike","30","30","14.25","427.50"
"B07FK8LHF8-M","Nike Women's Unisex Everyday Cushion No Show 3 Pair","nike","10","19","13.50","256.50"
"B007OY4AFQ-M","NIKE Men's Classic","nike","20","39","14.00","546.00"
"B007OY4AB0-L","Nike Men's Training T-Shirt","nike","20","40","14.00","560.00"
"B09WLD6364-ONE-SIZE","Nike Futura Beanie Gloves Set (Big Kids) Black","nike","0","0","9.99","0.00"
"B09TD2S7JL-M","Nike Men`s Everyday Cotton Stretch Boxer Briefs 3 Pack","nike","0","0","26.97","0.00"
"B07WHGJ29V-0-9-MONTHS","Nike Jordan Baby Assorted Bodysuits 3 Pack","nike","0","0","19.97","0.00"
"B075ZY57BQ-9-0","Nike Women's Trail Running Shoes","nike","0","0","58.74","0.00"
"B0DQFTG895-9-0","Nike Offcourt (Chicago Bears) Slide (DD0508-002, Anthracite/Marine/University Orange)","nike","0","0","25.78","0.00"
"B07CYVDSF4-L","Nike Unisex Adult Everyday Plus Crew Socks","nike","0","0","18.63","0.00"
"B07KD9PNKK-L","Nike Men's Pull Over Hoodie","nike","0","0","39.95","0.00"
"B019DKY3LO-L","Nike Men's Sportswear Open Hem Club Pants","nike","0","0","28.16","0.00"
"B07BPL162D-L","Nike Dri-FIT Icon shorts","nike","10","20","16.53","330.60"
"B07BPMTVPX-M","Nike Dri-FIT Icon","nike","0","0","18.21","0.00"
"B0916794ZH-M","NIKE SOCKS WHITE","nike","125","171","15.98","2732.58"
"B0BKR2LJXW-2T-4T","Nike Toddler Boys Beanie and Mittens 2 Piece Set","nike","0","0","6.84","0.00"
"B01KIRNTB6-ONESIZE","Nike Pro Hyperwarm Hood","nike","0","0","28.99","0.00"
"B077YXW813-11-0","Nike Men's Manoa Leather Hiking Boot","nike","0","0","65.00","0.00"
"B00F3V0S2Q-XX-LARGE","Nike mens Club Swoosh Sweatpant","nike","0","0","39.00","0.00"
"B08SQPB581-MEDIUM","Nike Indy Wire-Free Sports Bra, Medium, Black/White","nike","0","0","4.00","0.00"
"B08NX75M62-SMALL","Nike Women's Pro 365 Crop Tight LegginGrade School","nike","0","0","16.00","0.00"
"B099QBVXNR-10T","NIKE Boy's Sneakers Shoes","nike","10","10","34.99","349.90"
"B08KWPQMFB-3-MONTHS","Nike Kids Baby Girl's Sportswear All Over Print Smiley Long Sleeve Footed Coverall (Infant)","nike","50","59","9.99","589.41"
"B08KWPQMFB-0-3-MONTHS","Nike Kids Baby Girl's Sportswear All Over Print Smiley Long Sleeve Footed Coverall (Infant)","nike","130","130","9.99","1298.70"
"B003VRRH28-DIMENSIONS-16-L-X-4-W-X-","NIKE unisex-adult Heritage Hip Pack Bag , Black/Black/White, Misc","nike","0","0","16.00","0.00"
"B0DC6ZV9LL-10-5","Nike Free Metcon 6 Women's Workout Shoes","NIKE","0","0","90.00","0.00"
"B0CSDWZP28-L","Nike Men's Graphics Logo Sportswear T-Shirt","NIKE","12","24","17.35","416.40"
"B0CZHQC3MN-8-5","Nike Air Force 1 Low Women's","NIKE","0","0","69.00","0.00"
"B08DKYKTTH-10-0","Converse Unisex Chuck Taylor All Star Ox 159485 Trainers, White, 39.5 EU","CONVERSE","10","20","27.00","540.00"
"B0DLKM88VQ-ONE-SIZE","Nike 2024 Cuffed Dri-FIT U Peak Beanie (One Size) (Black)","NIKE","40","76","17.00","1292.00"
"B0959JT4PV-ONE-SIZE","Nike unisex-adult mens Balaclava","NIKE","86","112","15.88","1778.33"
"B019DLSDR8-MEDIUM","NIKE Sportswear Men's Pullover Club Hoodie","NIKE","212","234","32.99","7719.66"
"B072BH8XJD-SMALL","Nike Kids' Everyday Cushion Crew Socks (6 Pairs), White/Black, Small","NIKE","0","0","13.50","0.00"
"B07FRGYMMV-MEDIUM","Nike Men's Hoodie","NIKE","0","0","42.16","0.00"
"B07L7RZMP3-XL","Nike Men's Sportswear Club Pullover Hoodie","NIKE","0","0","27.93","0.00"
"B0841KHP85-S-M","Nike Mens Tech and Grip 2.0 Gloves - Silicone Grip and Touchscreen Fingertip","NIKE","18","18","7.99","143.82"
"B07MCQ4MXV-L","NIKE Everyday Performance Training Socks (6-Pair) (L (Men's 8-12 / Women's 10-13), Low (Sport Cut) Black)","NIKE","0","0","27.97","0.00"
"B07KR17QWZ-MEDIUM","Nike Brasilia Training Medium Duffle Bag","NIKE","0","0","35.97","0.00"
"B07BPMTVPX-MEDIUM","Nike Dri-FIT Icon","NIKE","0","0","22.50","0.00"
"B08TQN2NS2-9-0","Nike Men's Court Legacy Shoe","NIKE","10","10","39.58","395.80"
"B08TQN2NS2-11-0","Nike Men's Court Legacy Shoe","NIKE","10","10","39.58","395.80"
"B08TQN2NS2-11-5","Nike Men's Court Legacy Shoe","NIKE","10","10","39.58","395.80"
"B08TQN2NS2-13-0","Nike Men's Court Legacy Shoe","NIKE","10","10","39.58","395.80"
"B08KWMTQPK-0-3-MONTHS","Nike Kids Baby Girl's Sportswear All Over Print Smiley Long Sleeve Footed Coverall (Infant)","nike","130","260","9.99","2597.40"
